branches/branchid,branches/compid,branches/longitute,branches/latitude,branches/locationtext,branches/branchatmtitletext,branches/atmbranch,branches/addresstext,branches/phoneno,branches/weekdayworkhours,branches/facilitiesavailable,branches/enableDisability,branches/disability
SDU9699,DIP Mall,55.2068060,24.9742500,DIP Mall,DIP Mall,ATM,"DIP Mall , ground floor , DIP2 , Dubai UAE",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,,Disability friendly access
SDU0107,DJ Shopping centre,55.30276681,25.27162501,DJ Shopping centre,DJ Shopping centre,ATM,"Naif Road, Deira, Landmark: Near Naif Police Station",04/4244444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU8223,Double Tree by Hilton Barsha,55.2010200,25.1146200,Double Tree by Hilton Barsha,Double Tree by Hilton Barsha,ATM,"Ground floor , Double Tree by Hilton Barsha,Al Barsha 1 , Dubai , UAE",04-4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,1,Disability friendly access
SDU8213,Dubai Airport Terminal 2 Arrival,55.3587200,25.2662000,Dubai Airport Terminal 2 Arrival,Dubai Airport Terminal 2 Arrival,ATM,"Ground floor , Dubai International Airport terminal 2 Arrival , landside ,Dubai UAE",04-4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,1,Disability friendly access
SDU8205,"Dubai Airport , Terminal 2 Departure",55.5122700,25.3284100,"Dubai Airport , Terminal 2 Departure","Dubai Airport , Terminal 2 Departure",ATM,"Ground floor , Dubai International Airport terminal 2 departure , Dubai UAE",04/4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,1,Disability friendly access
SDU8201,Dubai EDITION,55.2806900,25.1921100,Dubai EDITION,Dubai EDITION,ATM,"Ground floor ,Dubai EDITION Dubai Fountain Street - Downtown Dubai - Dubai , UAE",04/4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,1,Disability friendly access
SCU8199,Dubai Hills Mall,55.2377300,25.1015100,Dubai Hills Mall,Dubai Hills Mall,ATM,"Dubai Hills MallGround Floor , Dubai Hills Mall, Dubai UAE",04/4244444,24/7,# Cash & Cheque Deposit # Bulk Cheque Deposit # Bill Payment # Cash and cardless Withdrawal # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # EID / Passport / Visa Update,1,Disability friendly access
SDU9681,Dubai Mall - Fountain View GF ATM,55.2817000,25.1946100,Dubai Mall - Fountain View GF ATM,Dubai Mall - Fountain View GF ATM,ATM,"Ground Floor , Dwntown Kitchen , near to CZN Burak entrance , Dubai UAE",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products # Profile Update # Preference settings,1,Disability friendly access
SDU2203,Dubai Mall EBSU,55.2794690,25.1980830,Dubai Mall EBSU,Dubai Mall EBSU,ATM,"Unit no. LG-176, financial institution block, near Dubai Mall fountain and Aquarium, Dubai Mall, Dubai",04/4244444,24/7,"Cash Withdrawals, AED,USD, EUR # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# E-Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Profile Update # Preference settings",1,Disability friendly access
SDU8218,Economic exchange Naif,55.3073800,25.2715000,Economic exchange Naif,Economic exchange Naif,ATM,"Ground floor, Economic exchange , Al musallah road , Naif , Dubai UAE",04/4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,,Disability friendly access
SDU8136,Elite Byblos hotel,55.2001400,25.1137500,Elite Byblos hotel,Elite Byblos hotel,ATM,"Al Barsha Road, Barsha 1, Behind Mall Of The Emirates - Dubai , UAE",04-4244444,24/7,# Bill Payment # Cash and cardless Withdrawal # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # EID / Passport / Visa Update,1,Disability friendly access
SCU9665,Emirates HQ,55.36654,25.24163,Emirates HQ,Emirates HQ,ATM,"2nd Floor (Atrium), Emirates Headquarters, Airport Road, Dubai, UAE",04/4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,,Disability friendly access
SDU8251,"Empire Plaza , Deira",55.3113900,25.2752400,"Empire Plaza , Deira","Empire Plaza , Deira",ATM,"Ground Floor , Empire Plaza Shopping Center ,Plot # 118-542, Naif Road, Deira - Dubai , UAE",04/4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,,Disability friendly access
SDU9695,Expo Metro Station - ATM2 (Expo mall side),55.15987,24.96938,Expo Metro Station - ATM2 (Expo mall side),Expo Metro Station - ATM2 (Expo mall side),ATM,"Metro to expo mall link , Expo metro station ,expo road , Jebel Ali , Dubai UAE",+971 4 424 4444,24/7,Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products  # Profile Update # Preference settings,1,Disability friendly access
SDU8207,First Central Hotel,55.1745700,25.0977100,First Central Hotel,First Central Hotel,ATM,"Ground floor , First Central Hotel , Al Saef 1 Street Barsha Heights , Dubai , UAE",04/4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,1,Disability friendly access
SDU8275,First Collection waterfront,55.2831100,25.1827900,First Collection waterfront,First Collection waterfront,ATM,"Ground floor , The First Collection waterfront ,Marasi Drive - Business Bay - Dubai, UAE",04/4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,,Disability friendly access
SDU8194,"First Entry Mall, IMPZ",55.1856900,25.0384000,"First Entry Mall, IMPZ","First Entry Mall, IMPZ",ATM,"First Entry Mall, production city IMPZ ,Dubai UAE ",04/4244444,24/7,# Bill Payment # Cash and cardless Withdrawal # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # EID / Passport / Visa Update,1,Disability friendly access
SDU8143,Galadari Motor Driving Centre,55.2156100,25.1181700,Galadari Motor Driving Centre,Galadari Motor Driving Centre,ATM,"Galadari Al Quoz Main office - 27th street , Al Quoz , Dubai UAE",044244444,24/7,# Bill Payment # Cash and cardless Withdrawal # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # EID / Passport / Visa Update,,Disability friendly access
SDU8184,GCC exchange - Jebel Ali JAFZA zone,55.0826900,24.9477700,GCC exchange - Jebel Ali JAFZA zone,GCC exchange - Jebel Ali JAFZA zone,ATM,"First floor , GCC exchange - Jebel Ali JAFZA zone , JAFZA commercial center food court , south Jebel Ali , Dubai UAE",04/4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,,Disability friendly access
SDU8217,Grand Mercure - Garhoud,55.3437100,25.2508700,Grand Mercure - Garhoud,Grand Mercure - Garhoud,ATM,"Grand Mercure & Ibis , Ground floor , 61B Street, Casablanca Street, Al Garhoud, Dubai, UAE",044244444/,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,1,Disability friendly access
SDU9673,Grand Plaza Mövenpick Media City ,55.16598,25.09745,Grand Plaza Mövenpick Media City ,Grand Plaza Mövenpick Media City ,ATM,"Ground Floor ,Grandplaza Movenpick hotel, Media City, Sheikh Zayed Road, Opposite Innovation Hub | Dubai Media City | P.O. Box 502713 | Dubai | UAE",04/4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,1,Disability friendly access
SDU8261,GV Carnaval-FF,55.3064650,25.0663680,GV Carnaval-FF,GV Carnaval-FF,ATM,"Near Carnaval Area ,Ground Floor,Global Village , Exit 37, Sheikh Mohamed Bin Zayed road . P.O. Box 73311 Dubai, United Arab Emirates",04/4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,,Disability friendly access
SDU8259,GV Cultural Gate - Inside (Yola Stage),55.3016240,25.0709570,GV Cultural Gate - Inside (Yola Stage),GV Cultural Gate - Inside (Yola Stage),ATM,"Near Cultural Gate - inside , Ground Floor ,Global Village , Exit 37, Sheikh Mohamed Bin Zayed road . P.O. Box 73311 Dubai, United Arab Emirates",04-4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,,Disability friendly access
SCU8262,GV Cultural Gate  - Outside ,55.3095320,25.0687240,GV Cultural Gate  - Outside ,GV Cultural Gate  - Outside ,ATM,"Near Cultural Gate - outside , Ground Floor ,Global Village , Exit 37, Sheikh Mohamed Bin Zayed road . P.O. Box 73311 Dubai, United Arab Emirates",04-4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,,Disability friendly access
SDU8255,GV Gate of the World Inside,55.3079110,25.0714610,GV Gate of the World Inside,GV Gate of the World Inside,ATM,"Near Gate of the World - Inside , Ground Floor , Global Village , Exit 37, Sheikh Mohamed Bin Zayed road . P.O. Box 73311 Dubai, United Arab Emirates",04-4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,,Disability friendly access
SDU8256,GV Gate of the World - Outside,55.3088230,25.0712410,GV Gate of the World - Outside,GV Gate of the World - Outside,ATM,"Near Gate of the World - Outside Gate of the World - Outside , Ground Floor , Global Village , Exit 37, Sheikh Mohamed Bin Zayed road . P.O. Box 73311 Dubai, United Arab Emirates",04-4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,,Disability friendly access
SDU8257,GV Near Cultural Stage 2nd ATM,55.3050000,25.0703200,GV Near Cultural Stage 2nd ATM,GV Near Cultural Stage 2nd ATM,ATM,"Near Cultural Stage, Ground Floor,Global Village , Exit 37, Sheikh Mohamed Bin Zayed road . P.O. Box 73311 Dubai, United Arab Emirates",04-4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,,Disability friendly access
SDU8260,GV Near Cultural Stage,55.3050000,25.0703200,GV Near Cultural Stage,GV Near Cultural Stage,ATM,"Near Cultural Stage, Ground Floor,Global Village , Exit 37, Sheikh Mohamed Bin Zayed road . P.O. Box 73311 Dubai, United Arab Emirates",04-4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,,Disability friendly access
SDU8258,Happiness Gate,55.3052020,25.0683540,Happiness Gate,Happiness Gate,ATM,"Near Happiness gate , Ground Floor , Global Village ,  Exit 37, Sheikh Mohamed Bin Zayed road . P.O. Box 73311 Dubai, United Arab Emirates",04-4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,,Disability friendly access
SDU8161,Hilton Dubai The Palm Jumeirah,55.14685,25.1057800,Hilton Dubai The Palm Jumeirah,Hilton Dubai The Palm Jumeirah,ATM,"Hilton The Palm Jumeirah , Dubai , UAE",04-4244444,24/7,# Bill Payment # Cash and cardless Withdrawal # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # EID / Passport / Visa Update,1,Disability friendly access
SDU8104,Hilton Garden Inn Mall of Emirates,55.1964100,25.1160100,Hilton Garden Inn Mall of Emirates,Hilton Garden Inn Mall of Emirates,ATM,"Ground Floor , 22nd Street - Al Barsha 1 -Mall of the Emirates, Dubai , UAE", +971 4 424 4444,24/7, Cash Withdrawal # Cardless cash withdrawal #Financial Summary # Bill Payments # Money transfers # Cheque Book request# Statement request # PIN issuance # Card Blocking / Replacement # Mashreq Online Services # Apply for Products# Donate to charity # Profile Update # Preference settings,1,Disability friendly access
SDU8142,"Horizon exchange , Karama",55.3043000,25.2410800,"Horizon exchange , Karama","Horizon exchange , Karama",ATM,"Al Karama , Dubai UAE",04-4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,,Disability friendly access
SDU8203,Hyatt Centric Jumeirah Dubai,55.2605500,25.2341800,Hyatt Centric Jumeirah Dubai,Hyatt Centric Jumeirah Dubai,ATM,"Ground floor , Hyatt Centric , La Mer Beach - Jumeirah - Jumeirah 1 - Dubai, UAE",04-4244444,24/7,# Cash Withdrawal # Cardless cash Withdrawal # Bill Payment # Money Transfer # Cheque Book Request # Card Activation / PIN Issuance # Card Replacement / Blocking # Mashreq Online Services # Update mobile number & address # EID / Passport / Visa Update,1,Disability friendly access
